Date,City,State,AreaType,School Type,Fatalities,Wounded,Month,Year,Day of Week,Region,Severity
11/14/2017,Rancho Tehama Reserve,California,rural,Elementry School,6,18,November,2017,Wednesday,West,High
12/7/2017,Aztec,New Mexico,rural,High School,3,0,December,2017,Friday,West,Medium
1/9/2018,Forest City,Iowa,rural,High School,0,0,January,2018,Tuesday,Midwest,Low
1/20/2018,Winston-Salem,North Carolina,urban,College,1,0,January,2018,Monday,South,Low
1/22/2018,Italy,Texas,rural,High School,0,1,January,2018,Thursday,South,Low
1/22/2018,New Orleans,Louisiana,urban,High School,0,1,January,2018,Monday,South,Low
1/23/2018,Marshall County,Kentucky,rural,High School,2,18,January,2018,Monday,South,High
2/1/2018,Los Angeles,California,urban,Middle School,0,5,February,2018,Thursday,West,Medium
2/14/2018,Parkland,Florida,suburban,High School,17,14,February,2018,Wednesday,South,High
3/2/2018,Mount Pleasant,Michigan,suburban,College,2,0,March,2018,Monday,Midwest,Low
3/7/2018,Birmingham,Alabama,urban,High School,1,2,March,2018,Monday,South,Medium
3/14/2018,Birmingham,Alabama,urban,College,2,1,March,2018,Wednesday,South,Medium
3/20/2018,Great Mills,Maryland,suburban,High School,2,1,March,2018,Thursday,South,Medium
4/20/2018,Ocala,Florida,suburban,High School,0,1,April,2018,Monday,South,Low
5/11/2018,Palmdale,California,urban,High School,0,1,May,2018,Friday,West,Low
5/16/2018,Dixon,Texas,rural,High School,0,1,May,2018,Wednesday,South,Low
5/18/2018,Santa Fe,Texas,rural,High School,10,10,May,2018,Thursday,South,High
5/18/2018,Jonesboro,Georgia,urban,High School,1,3,May,2018,Thursday,South,Medium
5/25/2018,Nobelsville,Indiana,suburban,Middle School,0,2,May,2018,Saturday,Midwest,Low
8/17/2018,Wellington,Florida,suburban,High School,0,2,August,2018,Wednesday,South,Low
8/30/2018,San Francisco,California,urban,High School,0,1,August,2018,Thursday,West,Low
9/5/2018,Providence,Rhode Island,urban,High School,1,1,September,2018,Wednesday,Northeast,Low
9/10/2018,Memphis,Tennessee,urban,High School,0,1,September,2018,Friday,South,Low
9/11/2018,Las Vegas,Nevada,urban,High School,1,0,September,2018,Tuesday,West,Low
10/29/2018,Matthews,North Carolina,suburban,High School,1,1,October,2018,Monday,South,Low
12/13/2018,Richmond,Indiana,rural,Middle School,1,0,December,2018,Friday,Midwest,Low
1/25/2019,Mobile,Alabama,urban,High School,0,2,January,2019,Monday,South,Low
2/8/2019,Baltimore,Maryland,urban,High School,0,1,February,2019,Monday,South,Low
2/12/2019,Kansas City,Missouri,urban,High School,1,0,February,2019,Thursday,Midwest,Low
2/14/2019,Rio Rancho,New Mexico,suburban,High School,0,0,February,2019,Thursday,West,Low
3/22/2019,Blountville,Alabama,rural,Elementry School,0,1,March,2019,Tuesday,South,Low
4/1/2019,Prescott,Arizona,rural,High School,0,1,April,2019,Monday,West,Low
4/25/2019,Dekalb,Georgia,suburban,Elementry School,0,10,April,2019,Thursday,South,High
4/30/2019,Charlotte,North Carolina,urban,College,2,4,April,2019,Friday,South,High
5/4/2019,Eugene,Oregon,urban,College,1,0,May,2019,Saturday,West,Low
5/6/2019,Riverview,Florida,suburban,Elementry School,0,0,May,2019,Monday,South,Low
5/7/2019,Highlands Ranch,Colorado,suburban,High School,1,7,May,2019,Tuesday,West,High
5/7/2019,Savannah,Georgia,urban,College,0,1,May,2019,Thursday,South,Low
8/8/2019,Montgomery,Alabama,urban,Elementry School,0,0,August,2019,Monday,South,Low
8/30/2019,Mobile,Alabama,urban,High School,0,10,August,2019,Thursday,South,High
10/22/2019,Santa Rosa,California,suburban,High School,0,1,October,2019,Thursday,West,Low
11/14/2019,Santa Clarita,California,suburban,High School,2,4,November,2019,Friday,West,High
11/15/2019,Pleasantville,New Jersey,suburban,High School,1,2,November,2019,Friday,Northeast,Medium
11/23/2019,Union City,California,urban,Elementry School,2,0,November,2019,Monday,West,Low
12/2/2019,Waukesha,Wisconsin,suburban,High School,0,1,December,2019,Wednesday,Midwest,Low
12/3/2019,Oshkosh,Wisconsin,suburban,High School,0,2,December,2019,Wednesday,Midwest,Low
1/8/2020,Belle Glade,Florida,rural,High School,0,1,January,2020,Wednesday,South,Low
1/11/2020,Dallas,Texas,urban,High School,1,1,January,2020,Friday,South,Low
1/14/2020,Bellaire,Texas,suburban,High School,1,0,January,2020,Tuesday,South,Low
1/14/2020,Fort Worth,Texas,urban,High School,0,2,January,2020,Thursday,South,Low
